                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4163,                 3.9039,                 1.4454,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00065657,             0.00065657,             0.00065657
                      2,                 2.2882,                 1.6356,                  1.397,                0.02736,                0.00308,                0.00052,                0.00021,                 4.7862,                 6.0824,                 14.366,               0.001297,               0.001297,               0.001297
                      3,                 2.2954,                 1.5319,                 1.3942,                0.49933,                0.45231,                0.38017,                 0.1353,                 2.2903,                 1.9464,                 1.4403,              0.0019111,              0.0019111,              0.0019111
                      4,                 2.2313,                 1.4142,                 1.3404,                0.35437,                0.35635,                0.23184,                0.07564,                 2.3051,                 3.9442,                 1.3026,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.1684,                 1.2765,                  1.361,                0.43874,                0.34769,                0.33296,                  0.118,                 2.3696,                 2.1093,                 1.3314,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.1834,                 1.2897,                 1.3337,                 0.6174,                0.55692,                 0.5098,                0.18136,                 2.2781,                  1.398,                 1.3456,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.1193,                 1.2367,                 1.3024,                  0.528,                0.65846,                0.55859,                0.21235,                 2.1032,                 2.0183,                 1.2483,               0.001802,               0.001802,               0.001802
                      8,                 2.1224,                  1.246,                 1.3024,                0.67287,                0.60308,                0.60364,                0.23024,                 2.1134,                  1.287,                 1.2605,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.0924,                 1.1763,                 1.2724,                0.63529,                0.62462,                0.61016,                0.24106,                 2.0619,                 1.1411,                 1.2245,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.0867,                 1.1319,                 1.2796,                0.59728,                0.45538,                0.50358,                 0.1845,                 2.1145,                 1.3657,                 1.2133,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.1224,                 1.1715,                  1.292,                0.69086,                0.58769,                0.58003,                0.21941,                 2.1286,                 1.1883,                 1.2538,              0.0016436,              0.0016436,              0.0016436
